PRINT NOW,LSB00101,LAYERS PORTLAND BEDSHEET,LX00001,LSB00101,,Legacy,47
PRINT NOW,B08JVLQD5X,Fun Homes 6 Pieces PVC Fridge Mat Set,LX00002,B08JVLQD5X,B08JVLQD5X,ASIN,42
PRINT NOW,LIM3001,Reusable Silicone Food Bag,LX00003,LIM3001,,Legacy,40
PRINT NOW,SH58AF3M0001,Bubble Bath/Floor Mats,LX00004,SH58AF3M0001,,Legacy,31
PRINT NOW,LDM3003,Swayam Ecofelt Organiser,LX00005,LDM3003,,Legacy,17
PRINT NOW,B003RH0H9W,B003RH0H9W,LX00006,B003RH0H9W,B003RH0H9W,ASIN,16
PRINT NOW,LD20AH3120,DESERT SPOON 6PC SET AYD SAVLA OB,LX00007,LD20AH3120,,Legacy,16
PRINT NOW,LD24AH3122,BABY SPOON 6PC SET AYD SAVLA OB,LX00008,LD24AH3122,,Legacy,16
PRINT NOW,LD20AH3121,DESERT FORK 6PC SET AYD SAVLA,LX00009,LD20AH3121,,Legacy,14
PRINT NOW,LDJ3020,CHIP CHOP PUSH CHOPPER JAYPEE,LX00010,LDJ3020,,Legacy,14
PRINT NOW,LDJ3033,STELLA JAR 3 PC SET YERA,LX00011,LDJ3033,,Legacy,13
PRINT NOW,LSB00104,LAYERS CLASSIC,LX00012,LSB00104,,Legacy,13
PRINT NOW,LDJ3021,KITCHEN WIPPER JAYPEE,LX00013,LDJ3021,,Legacy,12
PRINT NOW,LF24AC3M001,Sarangi Pillow with Cover,LX00014,LF24AC3M001,,Legacy,12
PRINT NOW,LDJ3007,ASSR 0006 ALL FRESH PREMIER RND 4PCS SET,LX00015,LDJ3007,,Legacy,11
PRINT NOW,LDJ3015,CASCADE COOL 565ML SET TREO,LX00016,LDJ3015,,Legacy,11
PRINT NOW,LS24AH3010,Milk Mug Single,LX00017,LS24AH3010,,Legacy,11
PRINT NOW,SH30AF3M0008,Bubble Bath/Floor  Mats - Special,LX00018,SH30AF3M0008,,Legacy,11
PRINT NOW,B01N6U0UGH,AmazonBasics 400 TC Pillow Covers -20 x 40  K,LX00019,B01N6U0UGH,B01N6U0UGH,ASIN,10
PRINT NOW,B075T1VTVJ,Wipro Garnet Base B22 15-Watt Led Bulb (Pack ,LX00020,B075T1VTVJ,B075T1VTVJ,ASIN,10
PRINT NOW,B08X67BQNT,Professional Digital Mini Scale 200g,LX00021,B08X67BQNT,B08X67BQNT,ASIN,10
